# Hits  Files kB F  Visits   Hostname
1	521	22.90	521	62.32	5318830	20.03	0	0.00	172.92.217.114
2	95	4.18	85	10.17	7016468	26.43	4	0.77	174.6.84.196
3	92	4.04	87	10.41	145735	0.55	9	1.73	97.113.195.184
4	92	4.04	75	8.97	154354	0.58	8	1.54	97.113.195.234
5	91	4.00	82	9.81	266	0.00	7	1.35	216.73.216.81
6	84	3.69	75	8.97	127297	0.48	8	1.54	75.172.10.116
7	70	3.08	53	6.34	207214	0.78	6	1.15	198.73.178.234
8	53	2.33	46	5.50	291311	1.10	2	0.38	199.30.250.54
9	44	1.93	25	2.99	219151	0.83	1	0.19	24.56.250.176
10	37	1.63	30	3.59	696393	2.62	2	0.38	169.204.230.186
11	35	1.54	31	3.71	43141	0.16	2	0.38	75.109.192.102
12	33	1.45	25	2.99	2002679	7.54	2	0.38	208.71.163.202
13	33	1.45	32	3.83	4006891	15.09	2	0.38	67.168.175.242
14	28	1.23	27	3.23	198725	0.75	1	0.19	174.61.177.11
15	24	1.05	23	2.75	279964	1.05	1	0.19	73.239.239.113
16	23	1.01	13	1.56	783	0.00	16	3.08	192.178.6.33
17	23	1.01	10	1.20	495767	1.87	2	0.38	90.28.27.82
18	21	0.92	17	2.03	500	0.00	17	3.27	192.178.6.34
19	18	0.79	7	0.84	352	0.00	10	1.92	192.178.6.35
20	18	0.79	13	1.56	2341787	8.82	1	0.19	69.172.151.16
21	17	0.75	9	1.08	478	0.00	8	1.54	216.73.216.57
22	13	0.57	12	1.44	108942	0.41	2	0.38	136.25.134.28
23	13	0.57	13	1.56	24	0.00	13	2.50	142.244.64.73

